Adjusted Potential (V),Adjusted Relative Capacity (mAh/g),Frequency (Hz),Zre (ohms),Zim (ohms),Type,Cycle
2.6,7.98,1.0,406.32,-246.68,1,1
2.6,7.98,0.79,443.91,-283.0,1,1
2.6,7.98,0.63,489.34,-320.44,1,1
2.6,7.98,0.5,544.3,-356.78,1,1
2.6,7.98,0.4,608.52,-389.05,1,1
2.6,7.98,0.32,681.79,-415.91,1,1
2.6,7.98,0.25,761.02,-433.46,1,1
2.6,7.98,0.2,845.32,-441.05,1,1
2.6,7.98,0.16,928.84,-440.47,1,1
2.6,7.98,0.13,1012.07,-431.32,1,1
2.6,7.98,0.1,1089.66,-416.81,1,1
2.8,12.32,100000.0,194.02,22.04,1,1
2.8,12.32,79432.82,195.11,16.54,1,1
2.8,12.32,63095.74,195.75,12.61,1,1
2.8,12.32,50118.72,196.32,8.96,1,1
2.8,12.32,39810.72,197.24,6.17,1,1
2.8,12.32,31622.78,197.89,3.86,1,1
2.8,12.32,25118.86,198.51,2.1,1,1
2.8,12.32,19952.62,199.19,0.65,1,1
2.8,12.32,15848.93,199.73,-0.56,1,1
2.8,12.32,12589.25,200.46,-1.63,1,1
2.8,12.32,10000.0,201.09,-2.48,1,1
2.8,12.32,7943.28,201.8,-3.24,1,1
2.8,12.32,6309.57,202.44,-3.94,1,1
2.8,12.32,5011.87,203.29,-4.59,1,1
2.8,12.32,3981.07,204.12,-5.13,1,1
2.8,12.32,3162.28,204.93,-5.73,1,1
2.8,12.32,2511.89,205.89,-6.29,1,1
2.8,12.32,1995.26,206.8,-6.87,1,1
2.8,12.32,1584.89,207.85,-7.39,1,1
2.8,12.32,1258.93,208.83,-8.05,1,1
2.8,12.32,1000.0,209.95,-8.59,1,1
2.8,12.32,794.33,211.09,-9.39,1,1
2.8,12.32,630.96,212.37,-10.12,1,1
2.8,12.32,501.19,213.73,-10.99,1,1
2.8,12.32,398.11,215.11,-11.93,1,1
2.8,12.32,316.23,216.55,-12.95,1,1
2.8,12.32,251.19,218.37,-14.21,1,1
2.8,12.32,199.53,219.97,-15.61,1,1
2.8,12.32,158.49,222.02,-17.04,1,1
2.8,12.32,125.89,223.95,-18.96,1,1
2.8,12.32,100.0,226.33,-20.86,1,1
2.8,12.32,79.43,228.56,-23.3,1,1
2.8,12.32,63.1,231.25,-25.54,1,1
2.8,12.32,50.12,234.07,-28.65,1,1
2.8,12.32,39.81,237.51,-32.48,1,1
2.8,12.32,31.62,241.01,-36.91,1,1
2.8,12.32,25.12,244.35,-41.33,1,1
2.8,12.32,19.95,249.52,-46.3,1,1
2.8,12.32,15.85,253.24,-53.55,1,1
2.8,12.32,12.59,259.32,-61.5,1,1
2.8,12.32,10.0,266.56,-69.0,1,1
2.8,12.32,7.94,274.2,-81.64,1,1
2.8,12.32,6.31,280.12,-92.44,1,1
2.8,12.32,5.01,291.08,-105.54,1,1
2.8,12.32,3.98,305.33,-122.61,1,1
2.8,12.32,3.16,319.89,-143.65,1,1
2.8,12.32,2.51,335.02,-168.58,1,1
2.8,12.32,2.0,353.48,-194.71,1,1
2.8,12.32,1.58,378.77,-223.16,1,1
2.8,12.32,1.26,415.51,-250.94,1,1
2.8,12.32,1.0,455.27,-286.33,1,1
2.8,12.32,0.79,501.88,-322.56,1,1
2.8,12.32,0.63,557.52,-357.66,1,1
2.8,12.32,0.5,621.07,-388.09,1,1
2.8,12.32,0.4,692.53,-412.55,1,1
2.8,12.32,0.32,770.3,-429.12,1,1
2.8,12.32,0.25,850.4,-437.13,1,1
2.8,12.32,0.2,932.09,-435.92,1,1
2.8,12.32,0.16,1011.19,-429.08,1,1
2.8,12.32,0.13,1086.33,-415.78,1,1
2.8,12.32,0.1,1160.16,-402.52,1,1
3.0,16.22,100000.0,195.15,21.85,1,1
3.0,16.22,79432.82,196.38,16.25,1,1
3.0,16.22,63095.74,197.2,11.89,1,1
3.0,16.22,50118.72,197.83,8.84,1,1
3.0,16.22,39810.72,198.56,5.77,1,1
3.0,16.22,31622.78,199.34,3.5,1,1
3.0,16.22,25118.86,199.94,1.73,1,1
3.0,16.22,19952.62,200.63,0.36,1,1
3.0,16.22,15848.93,201.36,-1.01,1,1
3.0,16.22,12589.25,202.1,-2.17,1,1
3.0,16.22,10000.0,203.01,-2.95,1,1
3.0,16.22,7943.28,203.68,-3.73,1,1
3.0,16.22,6309.57,204.48,-4.48,1,1
3.0,16.22,5011.87,205.41,-5.13,1,1
3.0,16.22,3981.07,206.3,-5.71,1,1
3.0,16.22,3162.28,207.08,-6.28,1,1
3.0,16.22,2511.89,208.12,-6.9,1,1
3.0,16.22,1995.26,209.19,-7.49,1,1
3.0,16.22,1584.89,210.21,-7.98,1,1
3.0,16.22,1258.93,211.37,-8.67,1,1
3.0,16.22,1000.0,212.48,-9.32,1,1
3.0,16.22,794.33,213.81,-10.08,1,1
3.0,16.22,630.96,215.16,-10.99,1,1
3.0,16.22,501.19,216.58,-11.79,1,1
3.0,16.22,398.11,218.2,-12.76,1,1
3.0,16.22,316.23,219.86,-13.92,1,1
3.0,16.22,251.19,221.55,-15.18,1,1
3.0,16.22,199.53,223.5,-16.6,1,1
3.0,16.22,158.49,225.46,-18.21,1,1
3.0,16.22,125.89,227.49,-20.16,1,1
3.0,16.22,100.0,230.09,-22.24,1,1
3.0,16.22,79.43,232.76,-24.64,1,1
3.0,16.22,63.1,235.52,-27.27,1,1
3.0,16.22,50.12,238.58,-30.29,1,1
3.0,16.22,39.81,241.88,-34.05,1,1
3.0,16.22,31.62,246.55,-38.56,1,1
3.0,16.22,25.12,250.16,-43.61,1,1
3.0,16.22,19.95,255.21,-49.22,1,1
3.0,16.22,15.85,262.24,-55.08,1,1
3.0,16.22,12.59,267.35,-63.54,1,1
3.0,16.22,10.0,275.63,-70.73,1,1
3.0,16.22,7.94,284.35,-82.0,1,1
3.0,16.22,6.31,292.66,-91.4,1,1
3.0,16.22,5.01,306.12,-102.25,1,1
3.0,16.22,3.98,321.14,-117.57,1,1
3.0,16.22,3.16,336.36,-133.78,1,1
3.0,16.22,2.51,353.26,-150.8,1,1
3.0,16.22,2.0,373.26,-167.26,1,1
